Model,HF_Model_Path,Benchmark,Task,Metric,Score,Score_StdErr,N_Samples_Original,N_Samples_Effective,Version,Date,Runtime_Seconds,Notes,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.4417744916820702,0.0213701847589509,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.532347504621072,0.021471498720517,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.5755395683453237,,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.6534772182254197,,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_hard,exact_match,0.052870090634441,0.0060577248793135,,,,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_algebra_hard,exact_match,0.0781758957654723,0.0153461609904954,307.0,307.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.0488599348534201,0.0123236105846311,307.0,307.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.032520325203252,0.0160589982058797,123.0,123.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.008130081300813,0.008130081300813,123.0,123.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0303030303030303,0.0149770197143082,132.0,132.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0075757575757575,0.0075757575757575,132.0,132.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0142857142857142,0.0071043508939153,280.0,280.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0,0.0,280.0,280.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.0454545454545454,0.0168399675826124,154.0,154.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.0324675324675324,0.0143288620027597,154.0,154.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.1347150259067357,0.0246397890977094,193.0,193.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.0932642487046632,0.0209868545932897,193.0,193.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.0074074074074074,0.0074074074074074,135.0,135.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.0148148148148148,0.0104364945495943,135.0,135.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MMLU-Pro,leaderboard_mmlu_pro,acc,0.3114195478723404,0.0042218171161115,12032.0,12032.0,0.1,2025-09-04T05:11:18,18025.350087852996,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MuSR,leaderboard_musr,acc_norm,0.3783068783068783,0.0170285288158791,,, ,2025-09-03T19:49:05,3027.585159522998,,0
